timestamp,total_open_events,event_ticker,series_ticker,sub_title,title,collateral_return_type,mutually_exclusive,category,strike_date
2025-02-19T01:10:36.862117,1035,KXROBOTMARS-35,KXROBOTMARS,Before 2035,Will a humanoid robot walk on Mars before a human does?,,False,Science and Technology,
2025-02-19T01:10:36.862117,1035,KXLALEADEROUT-35,KXLALEADEROUT,Before 2035,Which of these Latin America leaders will leave office next?,MECNET,True,Politics,
2025-02-19T01:10:36.862117,1035,KXG7LEADEROUT-35,KXG7LEADEROUT,Before 2035,Which of these G7 leaders will leave office next?,MECNET,True,Politics,
2025-02-19T01:10:36.862117,1035,KXEULEADEROUT-35,KXEULEADEROUT,Before 2035,Which of these European leaders will leave office next?,MECNET,True,Politics,
2025-02-19T01:10:36.862117,1035,KXBRUVSEAT-35,KXBRUVSEAT,In the next U.K. general election,Will Andrew Tate's party win a seat in the next UK election?,,False,Elections,
2025-02-19T01:10:36.862117,1035,KXASIALEADEROUT-35,KXASIALEADEROUT,Before 2035,Which of these Asia-Pacific leaders will leave office next?,MECNET,True,Politics,
2025-02-19T01:10:36.862117,1035,KXAFRICALEADEROUT-35,KXAFRICALEADEROUT,Before 2035,Which of these African leaders will leave office next?,MECNET,True,Politics,
2025-02-19T01:10:36.862117,1035,EUCLIMATE,EUCLIMATE,By 2030,EU meets its 2030 climate goals?,,False,Climate and Weather,
2025-02-19T01:10:36.862117,1035,INDIACLIMATE-30,INDIACLIMATE,By 2030,India meets its 2030 climate goals?,,False,Climate and Weather,
2025-02-19T01:10:36.862117,1035,KXMOONMAN-31,KXMOONMAN,Before 2031,Which country will be the next to send humans to the Moon?,,False,Science and Technology,
2025-02-19T01:10:36.862117,1035,USCLIMATE,USCLIMATE,2025/2030 goals,US meets its climate goals?,,False,Climate and Weather,
2025-02-19T01:10:36.862117,1035,AITURING,AITURING,Before 2030,AI passes Turing test before 2030?,,False,Science and Technology,
2025-02-19T01:10:36.862117,1035,EVSHARE-30JAN,EVSHARE,In Jan 2030,EV market share in 2030?,,False,Climate and Weather,
